Date,Open,High,Low,Close,Benefit,Tolerance,Month,Weekday
2019-08-09,97.404999,97.464996,97.175003,97.321999,-0.08299999999999841,0.2899929999999955,8,5
2019-08-12,97.370003,97.550003,97.129997,97.197998,-0.17200499999999863,0.42000600000000077,8,1
2019-08-13,97.220001,97.690002,97.125,97.630997,0.41099599999999725,0.5650020000000069,8,2
2019-08-14,97.610001,97.894997,97.5,97.825996,0.2159950000000066,0.3949970000000036,8,3
2019-08-15,97.815002,98.095001,97.68,98.004997,0.18999499999999614,0.4150009999999895,8,4
2019-08-16,98.004997,98.205002,97.964996,98.007004,0.0020069999999918764,0.24000599999999395,8,5
2019-08-19,98.059998,98.269997,98.004997,98.221001,0.161003000000008,0.26500000000000057,8,1
2019-08-20,98.239998,98.334999,97.989998,98.063004,-0.17699399999999343,0.34500099999999634,8,2
2019-08-21,98.074997,98.224998,98.0,98.179001,0.10400400000000332,0.22499799999999937,8,3
2019-08-22,98.154999,98.290001,97.964996,98.064003,-0.09099600000000407,0.32500500000000443,8,4
2019-08-23,98.095001,98.455002,97.455002,97.529999,-0.5650019999999927,1.0,8,5
2019-08-26,97.459999,97.995003,97.370003,97.988998,0.5289989999999989,0.625,8,1
2019-08-27,97.915001,97.959999,97.764999,97.906998,-0.008003000000002203,0.19499999999999318,8,2
2019-08-28,97.940002,98.18,97.919998,98.120003,0.18000099999999009,0.26000200000000007,8,3
2019-08-29,98.135002,98.485001,98.099998,98.455002,0.3199999999999932,0.38500299999999754,8,4
2019-08-30,98.355003,98.970001,98.345001,98.860001,0.5049980000000005,0.625,8,5
2019-09-03,99.010002,99.330002,98.864998,98.948997,-0.061004999999994425,0.4650039999999933,9,2
2019-09-04,98.889999,98.915001,98.339996,98.392998,-0.49700099999999736,0.5750050000000044,9,3
2019-09-05,98.349998,98.514999,98.035004,98.382004,0.03200599999999554,0.4799950000000024,9,4
2019-09-06,98.400002,98.480003,98.139999,98.362,-0.038002000000005864,0.3400039999999933,9,5
2019-09-09,98.389999,98.474998,98.105003,98.248001,-0.14199800000000096,0.36999500000000296,9,1
2019-09-10,98.300003,98.440002,98.135002,98.306999,0.00699600000000089,0.3050000000000068,9,2
2019-09-11,98.305,98.730003,98.279999,98.627998,0.32299799999999834,0.45000399999999274,9,3
2019-09-12,98.620003,99.105003,98.190002,98.307999,-0.3120040000000017,0.9150009999999895,9,4
2019-09-13,98.419998,98.434998,98.0,98.254997,-0.16500100000000373,0.4349979999999931,9,5
2019-09-16,98.099998,98.5,98.055,98.626999,0.5270009999999985,0.4449999999999932,9,1
2019-09-17,98.220001,98.290001,97.735001,97.819,-0.4010009999999937,0.5550000000000068,9,2
2019-09-18,97.75,98.269997,97.75,98.134003,0.384003000000007,0.5199970000000036,9,3
2019-09-19,98.150002,98.209999,97.775002,97.847,-0.30300200000000643,0.43499699999999564,9,4
2019-09-20,97.934998,98.25,97.735001,98.136002,0.20100400000001173,0.5149990000000031,9,5
2019-09-23,98.144997,98.455002,98.07,98.221001,0.07600399999999752,0.38500200000000007,9,1
2019-09-24,98.275002,98.32,97.879997,97.927002,-0.347999999999999,0.44000299999999015,9,2
2019-09-25,97.989998,98.690002,97.964996,98.658997,0.6689989999999995,0.7250060000000076,9,3
2019-09-26,98.595001,98.915001,98.449997,98.764999,0.16999800000000675,0.4650040000000075,9,4
2019-09-27,98.805,98.955002,98.629997,98.761002,-0.04399800000000198,0.3250049999999902,9,5
2019-09-30,98.769997,99.114998,98.709999,99.021004,0.2510070000000013,0.40499900000000366,9,1
2019-10-01,99.035004,99.305,98.705002,98.777,-0.2580039999999997,0.5999980000000136,10,2
2019-10-02,98.794998,99.080002,98.620003,98.689003,-0.10599500000000717,0.45999899999999627,10,3
2019-10-03,98.690002,98.875,98.300003,98.540001,-0.15000100000000316,0.5749969999999962,10,4
2019-10-04,98.559998,98.690002,98.339996,98.487999,-0.07199899999999104,0.3500060000000076,10,5
2019-10-07,98.519997,98.705002,98.425003,98.665001,0.14500400000000013,0.27999899999998945,10,1
2019-10-08,98.665001,98.955002,98.540001,98.821999,0.15699800000000153,0.4150009999999895,10,2
2019-10-09,98.779999,98.864998,98.595001,98.815002,0.035003000000003226,0.2699970000000036,10,3
2019-10-10,98.754997,98.794998,98.324997,98.405998,-0.3489990000000063,0.47000100000001055,10,4
2019-10-11,98.400002,98.449997,97.885002,98.004997,-0.3950049999999976,0.5649949999999961,10,5
2019-10-14,98.040001,98.264999,98.040001,98.169998,0.12999700000000303,0.22499799999999937,10,1
2019-10-15,98.190002,98.375,97.915001,98.002998,-0.18700400000000172,0.45999899999999627,10,2
2019-10-16,98.019997,98.144997,97.610001,97.723,-0.2969970000000046,0.5349960000000067,10,3
2019-10-17,97.739998,97.845001,97.220001,97.334999,-0.40499900000000366,0.625,10,4
2019-10-18,97.355003,97.394997,96.910004,97.008003,-0.3469999999999942,0.4849930000000029,10,5
2019-10-21,97.059998,97.129997,96.885002,97.050003,-0.009994999999989318,0.24499500000000296,10,1
2019-10-22,97.040001,97.315002,96.989998,97.255997,0.21599599999998986,0.32500400000000695,10,2
2019-10-23,97.230003,97.389999,97.150002,97.236,0.005997000000007802,0.23999700000000246,10,3
2019-10-24,97.214996,97.555,97.055,97.404999,0.19000300000000436,0.5,10,4
2019-10-25,97.445,97.68,97.339996,97.598999,0.1539990000000131,0.3400040000000075,10,5
2019-10-28,97.599998,97.665001,97.445,97.524002,-0.0759960000000035,0.22000100000001055,10,1
2019-10-29,97.525002,97.699997,97.379997,97.469002,-0.055999999999997385,0.3199999999999932,10,2
2019-10-30,97.459999,97.800003,97.230003,97.439003,-0.020995999999996684,0.5700000000000074,10,3
2019-10-31,97.254997,97.254997,97.014999,97.153999,-0.10099800000000414,0.23999799999999993,10,4
2019-11-01,97.110001,97.264999,96.959999,97.041,-0.06900100000000009,0.3050000000000068,11,5
2019-11-04,97.029999,97.379997,96.974998,97.365997,0.33599799999998936,0.40499900000000366,11,1
2019-11-05,97.355003,97.824997,97.275002,97.805,0.4499970000000104,0.5499949999999956,11,2
2019-11-06,97.760002,97.805,97.599998,97.764,0.003997999999995727,0.20500200000000746,11,3
2019-11-07,97.779999,98.074997,97.660004,97.988998,0.2089989999999915,0.4149929999999955,11,4
2019-11-08,97.995003,98.245003,97.945,98.200996,0.20599300000000653,0.3000030000000038,11,5
2019-11-11,98.230003,98.235001,97.970001,98.032997,-0.1970060000000018,0.26500000000000057,11,1
2019-11-12,98.074997,98.269997,98.055,98.151001,0.07600399999999752,0.21499699999999677,11,2
2019-11-13,98.184998,98.300003,98.139999,98.230003,0.04500500000000329,0.1600040000000007,11,3
2019-11-14,98.209999,98.290001,97.970001,98.018997,-0.19100199999999745,0.3200000000000074,11,4
2019-11-15,98.010002,98.110001,97.830002,97.871002,-0.1389999999999958,0.27999900000000366,11,5
2019-11-18,97.870003,97.870003,97.550003,97.663002,-0.2070009999999911,0.3199999999999932,11,1
2019-11-19,97.714996,97.769997,97.635002,97.741997,0.0270009999999985,0.13499500000000353,11,2
2019-11-20,97.730003,97.93,97.730003,97.814003,0.08400000000000318,0.19999700000001042,11,3
2019-11-21,97.775002,97.945,97.620003,97.899002,0.12399999999999523,0.3249969999999962,11,4
2019-11-22,97.860001,98.214996,97.699997,98.176003,0.31600199999999745,0.5149990000000031,11,5
2019-11-25,98.190002,98.294998,98.080002,98.237999,0.04799699999999518,0.2149960000000135,11,1
2019-11-26,98.25,98.309998,98.144997,98.169998,-0.08000199999999325,0.16500099999998952,11,2
2019-11-27,98.224998,98.370003,98.205002,98.288002,0.0630040000000065,0.16500100000000373,11,3
2019-11-29,98.264999,98.495003,98.154999,98.202003,-0.06299599999999828,0.3400039999999933,11,5
2019-12-02,98.209999,98.32,97.75,97.791,-0.41899899999999946,0.5699999999999932,12,1
2019-12-03,97.870003,97.879997,97.584999,97.681,-0.1890029999999996,0.29499800000000675,12,2
2019-12-04,97.669998,97.739998,97.355003,97.601997,-0.06800100000000953,0.38499500000000353,12,3
2019-12-05,97.535004,97.555,97.309998,97.371002,-0.16400199999999643,0.2450020000000137,12,4
2019-12-06,97.379997,97.815002,97.199997,97.661003,0.28100599999999076,0.6150050000000107,12,5
2019-12-09,97.665001,97.699997,97.525002,97.609001,-0.055999999999997385,0.17499499999999557,12,1
2019-12-10,97.620003,97.629997,97.370003,97.385002,-0.2350009999999969,0.25999400000000605,12,2
