Date,Open,High,Low,Close,Adj Close,Volume
2019-08-09,97.404999,97.464996,97.175003,97.321999,97.321999,15800
2019-08-12,97.370003,97.550003,97.129997,97.197998,97.197998,13129
2019-08-13,97.220001,97.690002,97.125000,97.630997,97.630997,27580
2019-08-14,97.610001,97.894997,97.500000,97.825996,97.825996,15211
2019-08-15,97.815002,98.095001,97.680000,98.004997,98.004997,17083
2019-08-16,98.004997,98.205002,97.964996,98.007004,98.007004,10735
2019-08-19,98.059998,98.269997,98.004997,98.221001,98.221001,9286
2019-08-20,98.239998,98.334999,97.989998,98.063004,98.063004,11519
2019-08-21,98.074997,98.224998,98.000000,98.179001,98.179001,8810
2019-08-22,98.154999,98.290001,97.964996,98.064003,98.064003,13481
2019-08-23,98.095001,98.455002,97.455002,97.529999,97.529999,29650
2019-08-26,97.459999,97.995003,97.370003,97.988998,97.988998,18897
2019-08-27,97.915001,97.959999,97.764999,97.906998,97.906998,9701
2019-08-28,97.940002,98.180000,97.919998,98.120003,98.120003,10397
2019-08-29,98.135002,98.485001,98.099998,98.455002,98.455002,19953
2019-08-30,98.355003,98.970001,98.345001,98.860001,98.860001,19951
2019-09-03,99.010002,99.330002,98.864998,98.948997,98.948997,21301
2019-09-04,98.889999,98.915001,98.339996,98.392998,98.392998,18923
2019-09-05,98.349998,98.514999,98.035004,98.382004,98.382004,16281
2019-09-06,98.400002,98.480003,98.139999,98.362000,98.362000,22160
2019-09-09,98.389999,98.474998,98.105003,98.248001,98.248001,30446
2019-09-10,98.300003,98.440002,98.135002,98.306999,98.306999,14065
2019-09-11,98.305000,98.730003,98.279999,98.627998,98.627998,28558
2019-09-12,98.620003,99.105003,98.190002,98.307999,98.307999,26088
2019-09-13,98.419998,98.434998,98.000000,98.254997,98.254997,8345
2019-09-16,98.099998,98.500000,98.055000,98.626999,98.626999,13702
2019-09-17,98.220001,98.290001,97.735001,97.819000,97.819000,12692
2019-09-18,97.750000,98.269997,97.750000,98.134003,98.134003,14068
2019-09-19,98.150002,98.209999,97.775002,97.847000,97.847000,12895
2019-09-20,97.934998,98.250000,97.735001,98.136002,98.136002,13513
2019-09-23,98.144997,98.455002,98.070000,98.221001,98.221001,13354
2019-09-24,98.275002,98.320000,97.879997,97.927002,97.927002,14590
2019-09-25,97.989998,98.690002,97.964996,98.658997,98.658997,17348
2019-09-26,98.595001,98.915001,98.449997,98.764999,98.764999,13498
2019-09-27,98.805000,98.955002,98.629997,98.761002,98.761002,10394
2019-09-30,98.769997,99.114998,98.709999,99.021004,99.021004,13808
2019-10-01,99.035004,99.305000,98.705002,98.777000,98.777000,23620
2019-10-02,98.794998,99.080002,98.620003,98.689003,98.689003,13663
2019-10-03,98.690002,98.875000,98.300003,98.540001,98.540001,17375
